latitude,longitude,geometry,OBJECTID_1,OBJECTID,NAMA,JENIS,KELURAHAN,KECAMATAN,KOTA_ADMIN
-6.231260787,106.7995888,Point,2963,9164,SMA NEGERI 82 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,SELONG,KEBAYORAN BARU,JAKARTA SELATAN
-6.230722447,106.7964363,Point,2964,9165,SD NEGERI GUNUNG 05 PAGI 06 PETANG,SEKOLAH / BANGUNAN PENDIDIKAN,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN
-6.235920694,106.8098384,Point,2965,9168,SD NEGERI RAWA BARAT 09 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,RAWA BARAT,KEBAYORAN BARU,JAKARTA SELATAN
-6.242686558,106.807442,Point,2966,9179,SMK NEGERI 6 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN
-6.242870958,106.8070374,Point,2967,9180,SMP NEGERI 13 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN
-6.247129398,106.8002436,Point,2968,9185,SMA/SMK DHARMA KARYA,SEKOLAH / BANGUNAN PENDIDIKAN,MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN
-6.248504909,106.8116047,Point,2969,9187,SD NEGERI 12 PAGI & 13 PAGI,SEKOLAH / BANGUNAN PENDIDIKAN,PELAMAMPANG,MAMAPNAG PERAPATAN,JAKARTA SELATAN
-6.247820279,106.8126183,Point,2970,9188,SD KUPU - KUPU,SEKOLAH / BANGUNAN PENDIDIKAN,PELAMAMPANG,MAMPANG PERAPATAN,JAKARTA SELATAN
-6.245161773,106.811465,Point,2971,9193,SD BAKTI LUHUR,SEKOLAH / BANGUNAN PENDIDIKAN,PETOGOGAN,KEBAYORAN BARU,JAKARTA SELATAN
-6.240093062,106.7895025,Point,2972,9195,SMP NEGERI 11 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN
-6.240525346,106.7894539,Point,2973,9197,SMP NEGERI 29 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN
-6.245033474,106.7914378,Point,2974,9203,SMP - SMA LABSCOOL KEBAYORAN,SEKOLAH / BANGUNAN PENDIDIKAN,KRAMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN
-6.244740539,106.7907755,Point,2975,9205,SD NEGERI KRAMAT PELA 09,SEKOLAH / BANGUNAN PENDIDIKAN,KRMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN
-6.247405126,106.7910325,Point,2976,9206,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA (UHAMKA),SEKOLAH / BANGUNAN PENDIDIKAN,KRAMAT PELA,KEBAYORAN BARU,JAKARTA SELATAN
-6.248243714,106.7912142,Point,2977,9210,SD MUHAMMADIYAH 5 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,KRAMAT PELA,KEBAYORAN BARU,JAKAERA SELATAN
-6.246771496,106.7731108,Point,2978,9218,SMP NEGERI 161 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,KEBAYORAN LAMA UTARA,KEBAYORAN LAMA,JAKARTA SELATAN
-6.241529755,106.7740448,Point,2979,9220,SEKOLAH STAF DAN KOMANDO ANAKATAN LAUT (SESKOAL),SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.240364911,106.772299,Point,2980,9227,SDS HANG TUAH 4,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
-6.239639344,106.77353,Point,2981,9228,SMA HANG TUAH 1 JAKARTA,SEKOLAH / BANGUNAN PENDIDIKAN,CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN
